iter	RMSE
0	39.05876699
1	39.05706356
2	39.05589439
3	39.05434188
4	39.0531532
5	39.05212392
6	39.05115133
7	39.05025613
8	39.04948052
9	39.04856165
10	39.04764557
11	39.04680374
12	39.04607976
13	39.04505753
14	39.04445748
15	39.04385201
16	39.04346157
17	39.04275706
18	39.0420946
19	39.04136306
20	39.04072906
21	39.04022295
22	39.03983943
23	39.03931973
24	39.03895553
25	39.03809856
26	39.03762038
27	39.037263
28	39.03697184
29	39.03667583
30	39.03616976
31	39.0359558
32	39.03563566
33	39.03529598
34	39.03500942
35	39.03471783
36	39.03444577
37	39.03418544
38	39.03387052
39	39.03363101
40	39.03328884
41	39.0330342
42	39.03278624
43	39.03253617
44	39.03233912
45	39.0319541
46	39.03164242
47	39.03142874
48	39.03112491
49	39.03085559
50	39.0306073
51	39.0303451
52	39.03007727
53	39.02956872
54	39.02927647
55	39.0290415
56	39.02858218
57	39.02826982
58	39.02807225
59	39.02786454
60	39.02767939
61	39.02753163
62	39.02734306
63	39.02685189
64	39.02664922
65	39.02637902
66	39.02587457
67	39.02561023
68	39.02518455
69	39.02486867
70	39.02451687
71	39.02433266
72	39.02407379
73	39.0239236
74	39.02386979
75	39.02374926
76	39.02359331
77	39.02337879
78	39.02321991
79	39.02288374
80	39.0227339
81	39.02254619
82	39.02234103
83	39.02220081
84	39.02189708
85	39.02164978
86	39.02141319
87	39.02116521
88	39.02101216
89	39.02083423
90	39.02047729
91	39.02042038
92	39.02025994
93	39.01998184
94	39.01984764
95	39.01968813
96	39.01955635
97	39.01946368
98	39.01926316
99	39.01906328
100	39.01882222
101	39.01872031
102	39.01857472
103	39.01835923
104	39.01815517
105	39.01799489
106	39.01791889
107	39.01767918
108	39.01748073
109	39.01734503
110	39.01714409
111	39.01699585
112	39.01684248
113	39.01666856
114	39.01645671
115	39.01630721
116	39.01600351
117	39.01576135
118	39.01559161
119	39.01546999
120	39.0152938
121	39.01522141
122	39.01503265
123	39.01492652
124	39.0148657
125	39.01473428
126	39.01449386
127	39.01440534
128	39.01421982
129	39.01406919
130	39.013934
131	39.01383529
132	39.01368409
133	39.01354948
134	39.01340286
135	39.01335547
136	39.01321556
137	39.01280594
138	39.01266544
139	39.01245139
140	39.01225563
141	39.01216168
142	39.01199603
143	39.01189657
144	39.01165855
145	39.01152662
146	39.01138894
147	39.01121567
148	39.01105889
149	39.01095576
150	39.01085968
151	39.01078775
152	39.01069773
153	39.01053163
154	39.01046078
155	39.01035543
156	39.01024123
157	39.01010345
158	39.00993991
159	39.00975996
160	39.00968906
161	39.00960532
162	39.00942355
163	39.0092736
164	39.00907812
165	39.00900483
166	39.00894459
167	39.00877192
168	39.00859304
169	39.00839622
170	39.00824932
171	39.00809629
172	39.00798446
173	39.00780657
174	39.0075846
175	39.00745953
176	39.00729671
177	39.00721488
178	39.00695271
179	39.0068309
180	39.00665135
181	39.00652249
182	39.00629576
183	39.00624786
184	39.00615937
185	39.00595773
186	39.00558609
187	39.00546929
188	39.00526675
189	39.00514601
190	39.00502596
191	39.00481102
192	39.00472792
193	39.00456847
194	39.00448981
195	39.00431647
196	39.0041246
197	39.00403986
198	39.00394416
199	39.00383723
200	39.00367028
201	39.00350069
202	39.00333361
203	39.00321341
204	39.00306
205	39.002989
206	39.00291616
207	39.00274717
208	39.00257898
209	39.00250749
210	39.00235884
211	39.00226948
212	39.00213184
213	39.00193916
214	39.00174248
215	39.00168454
216	39.00158483
217	39.00149977
218	39.0013993
219	39.00126227
220	39.00113012
221	39.0010334
222	39.00092366
223	39.00076452
224	39.00063747
225	39.00050215
226	39.00035687
227	39.00016825
228	39.0000638
229	38.99986481
230	38.99972342
231	38.99965239
232	38.9994858
233	38.99937338
234	38.99916047
235	38.99905765
236	38.99888344
237	38.99875288
238	38.99861382
239	38.99847357
240	38.99833709
241	38.99816054
242	38.99799584
243	38.99788316
244	38.99776768
245	38.99755677
246	38.99745853
247	38.99728678
248	38.99714152
249	38.99702202
250	38.99686442
251	38.99673925
252	38.99645021
253	38.99629969
254	38.99619696
255	38.99601432
256	38.99590729
257	38.99578231
258	38.9956473
259	38.99553616
260	38.99520727
261	38.99500457
262	38.99491736
263	38.99479346
264	38.99463404
265	38.99450127
266	38.99429424
267	38.9941497
268	38.99403325
269	38.99374775
270	38.993441
271	38.99325922
272	38.99304133
273	38.99289168
274	38.9927466
275	38.99254759
276	38.99232399
277	38.99212818
278	38.99196911
279	38.99180696
280	38.99165726
281	38.99145838
282	38.99125164
283	38.99102986
284	38.99081978
285	38.99063382
286	38.99053398
287	38.99037711
288	38.99025683
289	38.99007761
290	38.98999393
291	38.98984697
292	38.98966185
293	38.98952845
294	38.9893245
295	38.98912266
296	38.98892207
297	38.98873114
298	38.98860679
299	38.98846088
300	38.98827433
301	38.98807351
302	38.98782067
303	38.98767443
304	38.98756507
305	38.98741121
306	38.98730264
307	38.987161
308	38.98696094
309	38.98681757
310	38.98670752
311	38.98652436
312	38.98636064
313	38.98618178
314	38.98603652
315	38.98590719
316	38.98579302
317	38.98564754
318	38.98556427
319	38.98539576
320	38.98527237
321	38.98507753
322	38.98490907
323	38.98474794
324	38.98458449
325	38.98441572
326	38.98429195
327	38.98408197
328	38.98390223
329	38.98372906
330	38.98353497
331	38.98327839
332	38.98309156
333	38.98297086
334	38.9828226
335	38.98272699
336	38.9825519
337	38.98240312
338	38.98229818
339	38.98213365
340	38.98200147
341	38.98186869
342	38.98171421
343	38.98153313
344	38.98137835
345	38.98124241
346	38.98104425
347	38.9809179
348	38.98070284
349	38.9805926
350	38.98038637
351	38.98026102
352	38.98011326
353	38.97997546
354	38.97984773
355	38.97972481
356	38.97955706
357	38.97944016
358	38.97928599
359	38.97916027
360	38.97902373
361	38.97882543
362	38.97864969
363	38.97853529
364	38.97837539
365	38.97828036
366	38.97813414
367	38.97804619
368	38.97792871
369	38.97776122
370	38.97762012
371	38.97751938
372	38.97730907
373	38.97723268
374	38.97704532
375	38.97690871
376	38.97667301
377	38.97651759
378	38.97639161
379	38.97622255
380	38.97608383
381	38.97591973
382	38.97582425
383	38.97570144
384	38.975564
385	38.97543431
386	38.975296
387	38.97514676
388	38.97500803
389	38.97486738
390	38.97470343
391	38.97456234
392	38.97445518
393	38.97417791
394	38.97399876
395	38.9738626
396	38.9737456
397	38.97353482
398	38.973419
399	38.97327396
400	38.97317231
401	38.97305445
402	38.97281943
403	38.97264148
404	38.97254701
405	38.9724397
406	38.9722959
407	38.97216613
408	38.97197293
409	38.97182215
410	38.9717043
411	38.97156385
412	38.97143137
413	38.97125852
414	38.97113675
415	38.97100836
416	38.97088053
417	38.97079509
418	38.97063601
419	38.97044438
420	38.97031785
421	38.97018185
422	38.97000638
423	38.96981715
424	38.96972015
425	38.96962004
426	38.96944411
427	38.96929737
428	38.96912175
429	38.96896131
430	38.96886172
431	38.96870727
432	38.96862048
433	38.96854857
434	38.96839538
435	38.96826774
436	38.96808658
437	38.96799027
438	38.96785886
439	38.96774441
440	38.96758327
441	38.96746788
442	38.96735264
443	38.96726079
444	38.9671704
445	38.96703214
446	38.96689285
447	38.96672423
448	38.96662089
449	38.96650232
450	38.96642948
451	38.96621539
452	38.96604371
453	38.96593618
454	38.96585176
455	38.9657276
456	38.96564817
457	38.96548749
458	38.96539301
459	38.96528809
460	38.96523128
461	38.96511726
462	38.96497998
463	38.9648272
464	38.96470981
465	38.96455006
466	38.96442345
467	38.96428988
468	38.96409513
469	38.96397876
470	38.96387305
471	38.96374569
472	38.96365718
473	38.96356211
474	38.96336165
475	38.96324331
476	38.96312603
477	38.96300736
478	38.96286578
479	38.96275108
480	38.96261159
481	38.96247574
482	38.96230399
483	38.96217518
484	38.96202461
485	38.96190965
486	38.9617447
