iter	Passed	Remaining
0	4	2205
1	9	2183
2	14	2330
3	19	2314
4	23	2272
5	28	2271
6	33	2305
7	37	2270
8	42	2266
9	47	2250
10	51	2240
11	56	2235
12	61	2227
13	65	2229
14	70	2216
15	74	2203
16	79	2195
17	83	2179
18	88	2169
19	93	2186
20	98	2182
21	102	2174
22	107	2163
23	111	2159
24	116	2151
25	121	2149
26	125	2145
27	130	2142
28	135	2135
29	140	2133
30	144	2129
31	149	2118
32	153	2109
33	157	2102
34	162	2097
35	166	2091
36	171	2087
37	176	2082
38	180	2078
39	185	2073
40	190	2067
41	194	2058
42	198	2052
43	203	2050
44	208	2046
45	213	2044
46	218	2049
47	225	2060
48	230	2060
49	234	2053
50	239	2047
51	244	2043
52	248	2036
53	253	2032
54	258	2030
55	262	2024
56	267	2019
57	272	2018
58	277	2012
59	282	2008
60	286	2002
61	291	1997
62	295	1990
63	300	1988
64	305	1983
65	309	1977
66	314	1974
67	319	1969
68	324	1968
69	330	1967
70	334	1962
71	340	1960
72	344	1954
73	349	1949
74	353	1940
75	358	1936
76	362	1932
77	367	1926
78	371	1920
79	376	1913
80	380	1907
81	385	1902
82	389	1895
83	394	1890
84	398	1883
85	403	1883
86	408	1877
87	413	1874
88	419	1874
89	424	1871
90	429	1869
91	434	1863
92	438	1857
93	443	1853
94	447	1847
95	452	1843
96	457	1838
97	461	1833
98	466	1827
99	471	1823
100	476	1819
101	480	1813
102	484	1807
103	489	1803
104	494	1797
105	498	1792
106	503	1786
107	507	1780
108	511	1774
109	515	1768
110	520	1764
111	525	1759
112	529	1753
113	535	1752
114	540	1747
115	544	1742
116	549	1738
117	554	1733
118	559	1729
119	563	1724
120	568	1718
121	572	1713
122	577	1709
123	581	1703
124	586	1699
125	591	1694
126	595	1689
127	600	1684
128	605	1680
129	610	1675
130	614	1671
131	629	1694
132	638	1699
133	643	1695
134	648	1690
135	652	1685
136	657	1680
137	661	1674
138	666	1669
139	670	1663
140	675	1657
141	680	1652
142	684	1647
143	689	1641
144	693	1635
145	697	1630
146	702	1624
147	707	1619
148	711	1614
149	717	1611
150	721	1605
151	725	1599
152	730	1595
153	735	1590
154	740	1585
155	744	1579
156	749	1575
157	753	1569
158	758	1564
159	763	1560
160	767	1554
161	772	1549
162	776	1544
163	781	1539
164	786	1534
165	790	1529
166	795	1524
167	800	1519
168	805	1515
169	809	1509
170	813	1504
171	818	1499
172	823	1494
173	827	1489
174	832	1484
175	837	1479
176	842	1475
177	846	1470
178	851	1464
179	855	1459
180	859	1453
181	864	1448
182	869	1443
183	873	1438
184	878	1434
185	883	1430
186	888	1424
187	892	1420
188	897	1415
189	902	1410
190	906	1405
191	911	1400
192	916	1395
193	921	1391
194	926	1387
195	932	1383
196	936	1379
197	941	1374
198	946	1370
199	951	1365
200	955	1360
201	960	1355
202	964	1349
203	969	1345
204	974	1340
205	979	1336
206	984	1331
207	989	1326
208	994	1322
209	999	1318
210	1004	1313
211	1009	1309
212	1013	1304
213	1019	1300
214	1024	1296
215	1029	1291
216	1033	1286
217	1039	1282
218	1044	1277
219	1048	1273
220	1053	1267
221	1058	1263
222	1062	1258
223	1067	1253
224	1071	1248
225	1077	1244
226	1083	1241
227	1089	1238
228	1095	1234
229	1102	1232
230	1108	1228
231	1115	1225
232	1121	1222
233	1127	1219
234	1132	1214
235	1136	1209
236	1142	1204
237	1146	1199
238	1151	1194
239	1156	1190
240	1161	1185
241	1165	1180
242	1170	1175
243	1175	1170
244	1179	1165
245	1184	1160
246	1189	1156
247	1194	1151
248	1200	1147
249	1205	1143
250	1210	1138
251	1217	1135
252	1224	1132
253	1229	1127
254	1234	1123
255	1240	1119
256	1245	1114
257	1251	1110
258	1256	1106
259	1262	1101
260	1267	1097
261	1273	1093
262	1279	1089
263	1284	1084
264	1289	1080
265	1294	1075
266	1299	1071
267	1305	1066
268	1310	1061
269	1314	1056
270	1320	1052
271	1325	1047
272	1331	1043
273	1336	1038
274	1340	1033
275	1346	1029
276	1350	1023
277	1355	1019
278	1360	1014
279	1365	1009
280	1370	1004
281	1375	999
282	1380	995
283	1385	990
284	1390	985
285	1395	980
286	1401	976
287	1406	971
288	1411	966
289	1417	962
290	1422	958
291	1427	953
292	1432	948
293	1437	943
294	1441	938
295	1447	933
296	1452	929
297	1457	924
298	1462	919
299	1467	914
300	1471	909
301	1477	904
302	1482	900
303	1487	895
304	1492	890
305	1496	885
306	1501	880
307	1506	875
308	1510	870
309	1515	865
310	1520	860
311	1526	855
312	1530	850
313	1535	845
314	1539	840
315	1544	835
316	1549	830
317	1553	825
318	1558	820
319	1562	815
320	1567	810
321	1572	805
322	1577	800
323	1582	796
324	1586	790
325	1591	785
326	1596	781
327	1601	776
328	1605	771
329	1610	766
330	1617	762
331	1622	757
332	1627	752
333	1632	748
334	1637	742
335	1642	737
336	1647	733
337	1652	728
338	1657	723
339	1662	718
340	1667	713
341	1673	709
342	1678	704
343	1683	699
344	1688	695
345	1693	690
346	1699	685
347	1704	680
348	1708	675
349	1714	671
350	1719	666
351	1723	661
352	1728	656
353	1733	651
354	1738	646
355	1742	641
356	1747	636
357	1751	631
358	1756	626
359	1761	621
360	1765	616
361	1770	611
362	1775	606
363	1780	601
364	1785	596
365	1789	591
366	1794	586
367	1798	581
368	1803	576
369	1808	571
370	1813	567
371	1818	562
372	1823	557
373	1828	552
374	1833	547
375	1838	542
376	1843	537
377	1848	533
378	1853	528
379	1857	523
380	1862	518
381	1867	513
382	1871	508
383	1876	503
384	1881	498
385	1885	493
386	1890	488
387	1895	483
388	1900	478
389	1905	473
390	1910	469
391	1914	464
392	1919	459
393	1924	454
394	1929	449
395	1934	444
396	1938	439
397	1944	434
398	1948	429
399	1953	424
400	1958	420
401	1963	415
402	1968	410
403	1973	405
404	1977	400
405	1982	395
406	1987	390
407	1992	385
408	1997	380
409	2002	376
410	2007	371
411	2012	366
412	2018	361
413	2023	356
414	2028	352
415	2034	347
416	2039	342
417	2044	337
418	2048	332
419	2053	327
420	2058	322
421	2063	317
422	2067	312
423	2072	307
424	2077	303
425	2082	298
426	2086	293
427	2091	288
428	2096	283
429	2100	278
430	2105	273
431	2110	268
432	2115	263
433	2119	258
434	2125	254
435	2130	249
436	2135	244
437	2139	239
438	2144	234
439	2149	229
440	2153	224
441	2158	219
442	2162	214
443	2167	209
444	2172	205
445	2177	200
446	2182	195
447	2186	190
448	2191	185
449	2195	180
450	2200	175
451	2206	170
452	2210	165
453	2216	161
454	2221	156
455	2226	151
456	2231	146
457	2237	141
458	2241	136
459	2246	131
460	2251	126
461	2256	122
462	2260	117
463	2266	112
464	2270	107
465	2275	102
466	2280	97
467	2285	92
468	2290	87
469	2294	82
470	2299	78
471	2304	73
472	2309	68
473	2314	63
474	2320	58
475	2325	53
476	2329	48
477	2335	43
478	2340	39
479	2345	34
480	2350	29
481	2355	24
482	2360	19
483	2364	14
484	2369	9
485	2374	4
486	2379	0
